step,qeco_qoe,qeco_delay,qeco_energy,qeco_drop,qeco_completion_rate,qeco_adapt_general_qoe,qeco_adapt_general_delay,qeco_adapt_general_energy,qeco_adapt_general_drop,qeco_adapt_general_completion_rate,qeco_adaptive_gate_qoe,qeco_adaptive_gate_delay,qeco_adaptive_gate_energy,qeco_adaptive_gate_drop,qeco_adaptive_gate_completion_rate,qeco_adapt2_qoe,qeco_adapt2_delay,qeco_adapt2_energy,qeco_adapt2_drop,qeco_adapt2_completion_rate
24,-8.54792840,9.72033704,4.63373903,40668.00000000,0.06630545,6.29406799,8.52525902,7.59345615,25021.00000000,0.42518781,6.15491034,8.53076976,7.61280826,25224.00000000,0.42230264,6.29468711,8.52516713,7.58754915,25021.00000000,0.42518781
25,-8.64855418,9.70334750,6.17684511,32293.00000000,0.07289274,5.84365093,8.55753046,9.11756445,20321.00000000,0.42024479,6.18038986,8.52319625,9.40200285,19996.00000000,0.42772102,5.84130854,8.55701692,9.10100442,20324.00000000,0.42015920
26,-9.08896823,9.68424637,10.29782446,21595.00000000,0.08079002,6.01584169,8.54949069,13.73791905,13195.00000000,0.43288778,5.97126408,8.49785739,13.17505831,13274.00000000,0.43117929,6.01260779,8.54966261,13.72841956,13197.00000000,0.43280182
27,-10.10942274,9.66438356,18.76400653,13201.00000000,0.08668881,3.19431406,8.64261074,20.08192332,8973.00000000,0.38091624,4.50426205,8.40788036,18.76413299,8424.00000000,0.42474734,3.18361063,8.64198979,20.07875769,8977.00000000,0.38064026
28,-8.27919826,9.67091138,6.29141542,32237.00000000,0.07957401,6.45360674,8.50628486,9.60511761,19602.00000000,0.43358280,6.32312203,8.51507669,9.63070423,19611.00000000,0.43031025,6.41015599,8.49839628,9.44179044,19656.00000000,0.43202242
29,-9.06371603,9.64167571,10.82048460,20980.00000000,0.08921207,5.89498306,8.52592464,13.77743552,12989.00000000,0.43548177,5.81568899,8.49775941,13.38975161,13016.00000000,0.43371764,5.91638368,8.52470772,13.77263380,12977.00000000,0.43600330
30,-9.74954702,9.63031297,18.62203102,13273.00000000,0.09300260,6.56586139,8.54855679,17.79463573,7908.00000000,0.45261992,4.53944739,8.45095078,19.17254521,8382.00000000,0.42458983,6.58392335,8.54793383,17.79478980,7902.00000000,0.45303523
31,-9.76630158,9.63321130,19.09165504,13101.00000000,0.09504732,5.64056372,8.55021412,17.89102537,8216.00000000,0.43251830,4.43296197,8.46568190,19.15223271,8408.00000000,0.42232910,5.64044153,8.55125017,17.89333295,8215.00000000,0.43258737
32,-10.49115621,9.58320959,31.18947562,7770.00000000,0.11250714,2.29802243,8.76268095,28.11509219,5502.00000000,0.37284851,1.32301413,8.48812243,29.70332838,5485.00000000,0.37357241,2.27857972,8.76142711,28.16029288,5506.00000000,0.37239257
33,-9.31846793,9.13300142,59.35317339,2069.00000000,0.26422475,11.49428254,7.66330785,16.67942330,1189.00000000,0.58686588,-7.74000635,8.96695958,57.62088342,1981.00000000,0.30369069,11.52314811,7.65114663,16.60522900,1188.00000000,0.58721334
34,-8.63967667,9.60816309,10.85710408,20885.00000000,0.09604398,5.81492700,8.54828767,13.49626762,13287.00000000,0.43120719,6.05376833,8.48023043,13.36574982,12894.00000000,0.43728725,5.81907752,8.54743151,13.47905906,13285.00000000,0.43129281
35,-7.30817174,9.58166755,4.87892099,39364.00000000,0.09659652,6.37269187,8.51476446,7.77592956,25017.00000000,0.42734514,6.42434534,8.53006380,7.82819373,24853.00000000,0.42963694,6.37479841,8.51476446,7.77328604,25015.00000000,0.42739093
36,-8.90435370,9.16199065,57.43715165,2202.00000000,0.26452906,9.86082620,7.93515358,17.01655457,1320.00000000,0.54948805,-7.57389844,8.94085092,58.10404245,2027.00000000,0.29885853,9.86082620,7.93515358,17.01655457,1320.00000000,0.54948805
37,-7.09928877,9.56753546,4.91322932,39380.00000000,0.10044087,6.34514481,8.54523138,7.75349682,24938.00000000,0.42785693,6.37850854,8.52949968,7.85344585,24839.00000000,0.42888347,6.34364210,8.54536903,7.74475593,24939.00000000,0.42783399
38,-7.16702509,9.53415671,6.51857883,31271.00000000,0.10804644,6.05030229,8.55256513,9.44506118,20036.00000000,0.42511190,6.29902333,8.52457786,9.51427425,19704.00000000,0.43125992,6.05044974,8.55279467,9.43333549,20037.00000000,0.42508321
39,-10.34572446,9.50864653,32.07227514,7590.00000000,0.12497118,1.54317318,8.81027759,29.10621465,5572.00000000,0.36086258,1.34888185,8.48372628,29.99096981,5388.00000000,0.38033353,1.55789041,8.81062170,29.13530763,5569.00000000,0.36120670
40,-7.58882248,9.51008065,11.00638364,20621.00000000,0.11543411,6.07143094,8.57403738,13.98500323,13150.00000000,0.43362908,6.16453207,8.54630106,13.33243916,13179.00000000,0.43447477,6.07717043,8.57408045,13.97248486,13147.00000000,0.43375829
41,-9.07477479,9.09949580,58.54468232,2180.00000000,0.26722689,11.68446755,7.66047001,15.41359055,1193.00000000,0.58155033,-6.31735158,8.81047553,55.86547506,1952.00000000,0.32736044,11.68146018,7.65766398,15.42187083,1193.00000000,0.58155033
42,-6.85348835,9.50621368,6.79092262,30704.00000000,0.11673667,6.10733904,8.54552489,9.40017598,20008.00000000,0.42658986,5.88976251,8.56631820,9.41628729,20219.00000000,0.42090792,6.08602310,8.54692918,9.39510388,20026.00000000,0.42607400
43,-6.68830964,9.48135593,6.94126824,30401.00000000,0.11919455,6.49533896,8.49998554,9.70522299,19587.00000000,0.43336130,6.43749169,8.51410886,9.69304659,19522.00000000,0.43268141,6.49825012,8.49816299,9.69465330,19587.00000000,0.43336130
44,-8.44747198,9.47788815,19.23381351,12893.00000000,0.12280582,6.06049624,8.51814114,19.12581219,8149.00000000,0.43896730,4.73887921,8.42519792,18.95057982,8469.00000000,0.42695717,6.07187047,8.51641997,19.12549267,8146.00000000,0.43917384
45,-8.25933423,9.00730689,58.23989291,2054.00000000,0.28531663,10.28328879,7.78315718,16.51406783,1297.00000000,0.55779066,-5.29667845,8.74904943,56.42134312,1887.00000000,0.34773591,10.28328879,7.78315718,16.51406783,1297.00000000,0.55779066
46,-6.22363471,9.45920107,5.35927341,38067.00000000,0.12304184,6.62571330,8.50733212,8.03445052,24579.00000000,0.43417206,6.57095398,8.50785509,7.96836146,24660.00000000,0.43277746,6.62740670,8.50666452,8.02418739,24579.00000000,0.43417206
47,-8.10299957,9.41972557,20.26538960,12385.00000000,0.13735460,4.19557848,8.63194590,20.83844005,8548.00000000,0.40402984,4.77058581,8.42755180,19.67612047,8169.00000000,0.43392696,4.18359515,8.63292198,20.84956753,8552.00000000,0.40375096
48,-5.95969209,9.42824554,5.38537133,37791.00000000,0.12919950,6.49050620,8.52560269,7.96749146,24696.00000000,0.43191020,6.41356183,8.53931840,7.92695626,25003.00000000,0.42927252,6.49308075,8.52514262,7.96070010,24695.00000000,0.43193320
49,-6.15252862,9.42176792,7.06976930,30106.00000000,0.13314138,6.35692073,8.54917962,9.69181131,19821.00000000,0.43243708,6.21540472,8.55050968,9.62473759,19959.00000000,0.42850189,6.35270497,8.55001002,9.68013027,19825.00000000,0.43232254
50,-6.01279062,9.41154000,6.83466006,30319.00000000,0.13566908,6.34389766,8.52857968,9.84075919,19688.00000000,0.43163972,6.18918056,8.54254348,9.64304760,20059.00000000,0.42802965,6.31845052,8.52450924,9.68778815,19720.00000000,0.43071594
51,-5.87655351,9.39818927,6.94063070,30285.00000000,0.13776905,6.31101021,8.53224295,9.57103323,20098.00000000,0.42930971,6.40493414,8.55176324,9.54060875,20039.00000000,0.43193673,6.30434862,8.53156146,9.55441009,20105.00000000,0.42911094
52,-8.65913547,9.33208020,33.40515352,7348.00000000,0.16290727,4.37351077,8.66989272,20.86552245,5007.00000000,0.41616138,-1.51340009,8.75253054,32.11938479,5829.00000000,0.32181501,4.40430377,8.66604478,20.87820512,5003.00000000,0.41662780
53,-7.60165577,9.37820777,20.08001151,12438.00000000,0.14656237,5.74065887,8.50737648,19.70020907,8090.00000000,0.43702157,4.75334867,8.43873707,19.50137853,8338.00000000,0.42894322,5.73585689,8.50786360,19.72058502,8090.00000000,0.43702157
54,-7.31561378,9.36312733,20.61108909,12260.00000000,0.15249551,5.67440615,8.51946170,20.01376437,8197.00000000,0.43429952,4.77312185,8.44035799,19.79188720,8160.00000000,0.42945043,5.66727045,8.52070393,20.02277251,8199.00000000,0.43416149
55,-7.26358929,9.34133626,20.12715856,12343.00000000,0.15331321,5.36641138,8.60444536,17.92436511,8392.00000000,0.42429855,5.05257904,8.40752222,19.67024450,8150.00000000,0.43858924,5.36445509,8.60341634,17.88118164,8393.00000000,0.42422995
56,-6.08179140,8.82038664,57.73325845,1902.00000000,0.33145870,10.84342197,7.76897019,16.72183918,1276.00000000,0.56775068,-2.50931977,8.55431366,54.88047378,1714.00000000,0.40132728,10.83761722,7.77100271,16.75329200,1276.00000000,0.56775068
57,-5.97099544,9.31804547,12.36162583,19424.00000000,0.15558840,6.26492471,8.53261621,13.67409077,13093.00000000,0.43437878,6.31181740,8.51298224,13.59727387,13052.00000000,0.43612563,6.25983455,8.53222741,13.67623581,13096.00000000,0.43424918
58,-5.61175742,8.78883495,57.03303973,1892.00000000,0.34396671,10.27466900,7.89417281,15.95490056,1331.00000000,0.55425318,-3.54355518,8.63083305,53.92428726,1791.00000000,0.38091946,10.22107337,7.89919625,15.99146387,1334.00000000,0.55324849
59,-5.19736914,9.32060322,7.31805387,29348.00000000,0.15538032,6.42756378,8.52223410,9.88613120,19604.00000000,0.43355775,6.38627457,8.53292690,9.73785923,19731.00000000,0.43259332,6.42430297,8.52180069,9.86381868,19607.00000000,0.43347106
60,-5.15638126,9.31964902,7.41378023,29290.00000000,0.15736479,6.48974556,8.51852487,9.67865024,19764.00000000,0.43499142,6.55546523,8.51201654,9.83641637,19640.00000000,0.43606972,6.48118693,8.51915380,9.68527150,19770.00000000,0.43481990
61,-4.66480288,9.29673888,5.61107766,36795.00000000,0.16088940,6.36781542,8.56798556,8.16838760,25008.00000000,0.42870197,6.36654917,8.53802602,8.18801960,24706.00000000,0.42906662,6.35954013,8.56816832,8.17401569,25017.00000000,0.42849637
62,-4.69336977,9.26929610,7.43611465,28883.00000000,0.16847560,6.59135254,8.50425826,9.79913640,19511.00000000,0.43862930,6.03717863,8.57992982,9.74676201,19991.00000000,0.42501726,6.59627144,8.50198527,9.79580305,19509.00000000,0.43868685
63,-6.47774703,9.23759036,21.05126536,11960.00000000,0.17659208,5.66112743,8.58955430,18.03111382,8190.00000000,0.43493860,5.10296699,8.43379563,19.94041766,8096.00000000,0.44138550,5.65786319,8.59058921,18.01936830,8192.00000000,0.43480061
64,-4.32082583,9.25892572,5.76074514,36441.00000000,0.16918973,6.60691952,8.52607590,8.19889123,24721.00000000,0.43379675,6.59919499,8.52853018,8.12575223,24688.00000000,0.43425455,6.60866341,8.52687753,8.19538189,24717.00000000,0.43388837
65,-6.29357958,9.27647180,20.68451801,12018.00000000,0.17634158,5.03539499,8.59110404,20.36978581,8401.00000000,0.41885722,5.31248959,8.40787008,19.89175482,8053.00000000,0.44111319,5.06780233,8.58882125,20.34225363,8390.00000000,0.41961815
66,-7.81593764,9.21545045,33.48086119,7059.00000000,0.18364751,4.63123376,8.62511374,20.74413176,5078.00000000,0.42242948,2.24915754,8.48167896,30.03042223,5257.00000000,0.40363018,4.62873920,8.62545496,20.74897622,5078.00000000,0.42242948
67,-4.14868914,9.24172437,5.89266697,35922.00000000,0.17365600,6.87285606,8.50277107,8.32387007,24308.00000000,0.44100264,6.41485488,8.54943096,8.25024531,24936.00000000,0.43013849,6.86516504,8.50332298,8.32601348,24315.00000000,0.44084167
68,-6.23769008,9.20066473,21.58443853,11790.00000000,0.18363108,5.23701103,8.59786722,18.35784186,8330.00000000,0.42690058,4.71015782,8.45894217,19.79496875,8265.00000000,0.43301091,5.27854782,8.59662883,18.34630301,8316.00000000,0.42786378
69,-4.70696614,8.71809986,55.54817213,1848.00000000,0.35922330,11.81425168,7.60304288,17.01427423,1167.00000000,0.59647303,-1.58759530,8.41488277,52.90157799,1706.00000000,0.42031940,11.80220492,7.60200553,17.00715541,1168.00000000,0.59612725
70,-5.94623585,9.16795177,21.68584156,11555.00000000,0.19003224,5.25195158,8.59307027,18.35727917,8247.00000000,0.42505577,5.52469366,8.37521067,20.02217721,7819.00000000,0.45091292,5.28111843,8.59195482,18.31938478,8238.00000000,0.42568321
71,-3.99239811,9.18549104,7.80108458,28395.00000000,0.18580645,6.45672173,8.53540394,9.90216360,19657.00000000,0.43626144,6.52459689,8.52616246,9.83483080,19737.00000000,0.43627899,6.43116262,8.53620695,9.91517917,19679.00000000,0.43563050
72,-7.22207708,9.14972145,34.50632276,6899.00000000,0.19928041,2.39021829,8.68602645,29.20377497,5375.00000000,0.38182864,-1.10393426,8.65250029,31.69374103,5809.00000000,0.32913731,2.32238093,8.69327200,29.21267421,5389.00000000,0.38021852
73,-5.50187361,9.14777885,21.23180578,11703.00000000,0.19522762,5.47816053,8.52987939,20.03154157,8334.00000000,0.42886513,5.03105099,8.45120294,19.85893256,8271.00000000,0.43788229,5.50113736,8.52850877,20.00990689,8326.00000000,0.42941338
74,-4.23308221,8.59592530,55.60821641,1868.00000000,0.36570458,10.94830649,7.71029360,19.19709150,1160.00000000,0.58967103,-2.17004044,8.51598639,53.64631169,1736.00000000,0.40952381,10.96427280,7.71807570,19.21376422,1158.00000000,0.59037849
75,-3.81561971,9.17985243,7.84359723,28380.00000000,0.19147603,6.23872726,8.54161401,9.88993759,19828.00000000,0.43055715,6.25497567,8.55113022,9.84673238,19999.00000000,0.43064966,6.22833295,8.54198736,9.88179894,19837.00000000,0.43029868
76,-5.25651234,9.11538995,22.45807902,11455.00000000,0.20517624,5.06579481,8.63356614,18.40884101,8434.00000000,0.41677616,5.29394461,8.40380461,20.50284105,7990.00000000,0.44324437,5.05566068,8.63619390,18.43572480,8435.00000000,0.41670701
77,-6.61665353,9.12859066,33.53297865,7052.00000000,0.20870736,2.62786028,8.67128378,28.64451782,5426.00000000,0.38896396,-1.68889464,8.67329903,31.50256492,5988.00000000,0.31526587,2.62286923,8.67128378,28.61132122,5429.00000000,0.38862613
78,-6.08759996,9.04881418,34.56422995,6760.00000000,0.22173613,5.09408326,8.61204321,20.29732116,4947.00000000,0.43151000,3.86506045,8.41057877,29.07348893,4997.00000000,0.43402424,4.81200901,8.64169157,20.26448647,5004.00000000,0.42495978
79,-4.31535422,9.13282993,12.83523485,18624.00000000,0.20096104,6.16767411,8.56316492,14.00059334,13039.00000000,0.43838567,6.27489411,8.51368394,13.87172959,13078.00000000,0.43900137,6.17485858,8.56165741,13.99353127,13035.00000000,0.43855795
80,-3.34952189,9.11812238,7.92134713,27940.00000000,0.20223853,6.43542607,8.53890154,9.96686427,19878.00000000,0.43431986,6.40289913,8.54484926,9.98395837,19772.00000000,0.43500500,6.42464540,8.53892999,9.94269225,19887.00000000,0.43406375
81,-2.95551984,9.11292651,6.38550960,34756.00000000,0.20355645,6.71086222,8.53322148,8.32618436,24466.00000000,0.43770541,6.60117074,8.54551301,8.38604602,24599.00000000,0.43498633,6.72081849,8.53255499,8.31568366,24457.00000000,0.43791225
82,-5.03222673,9.09634096,21.40020719,11540.00000000,0.20926408,6.06227251,8.54620292,18.22985516,8113.00000000,0.44343829,5.23453534,8.40281294,20.57769905,7930.00000000,0.44233474,6.04520127,8.54805516,18.24365205,8118.00000000,0.44309529
83,-2.82074708,8.48933939,55.35296983,1693.00000000,0.40824886,13.22395625,7.46332737,15.71397555,1059.00000000,0.62110912,0.44028698,8.18660119,51.27136994,1502.00000000,0.47316731,13.19330788,7.46762075,15.69345090,1061.00000000,0.62039356
84,-2.78185331,9.04648212,8.40915922,27168.00000000,0.21660900,6.54740409,8.53473242,10.43637037,19532.00000000,0.43771771,6.56962667,8.52645967,10.23120977,19514.00000000,0.43846220,6.54014982,8.52767942,10.28307733,19550.00000000,0.43719953
85,-3.51214626,9.04813426,13.25877699,18296.00000000,0.22065088,5.98903698,8.55789653,13.76044475,13257.00000000,0.43459718,6.25719674,8.52727660,13.79684989,13126.00000000,0.44013649,5.99104814,8.55806713,13.76237459,13256.00000000,0.43463983
86,-2.79570553,9.06312654,8.29240783,27328.00000000,0.21727674,6.47631769,8.54836858,10.17232542,19603.00000000,0.43745516,6.57942264,8.53116050,10.06491707,19591.00000000,0.43891053,6.46144996,8.54833989,10.18032767,19616.00000000,0.43708210
87,-1.20695927,8.37319733,52.75248772,1612.00000000,0.43299332,13.52488621,7.41056034,14.85362461,1057.00000000,0.62033046,0.09130981,8.21793948,52.31544643,1493.00000000,0.46217579,13.51309892,7.41918103,14.92489954,1057.00000000,0.62033046
88,-5.81605973,9.03624363,35.60526604,6635.00000000,0.23170449,6.44568129,8.49926479,20.26936294,4766.00000000,0.46092071,-0.63051204,8.62298317,33.63859501,5629.00000000,0.34660476,6.40191702,8.49315688,20.24130878,4777.00000000,0.45967651
