section,section_key,algorithm,label,qoe,delay,energy,drop,completion_rate
1-300,0_300,qeco,QECO,0.2602755939599276,8.713870544868866,21.863504216677043,14679.063333333334,0.33632282180840073
1-300,0_300,qeco_adapt_general,QECO-ADAPT general,7.483223803274297,8.35244164367868,14.582966347242905,11499.65,0.47168580674825544
1-300,0_300,qeco_adaptive_gate,QECO adaptive gate,5.511997269327737,8.403735583479847,20.86260613576114,11603.6,0.4537983605693821
1-300,0_300,qeco_adapt2,QECO-ADAPT2,7.47195669756819,8.352135310707821,14.606537496585485,11503.716666666667,0.4714541524859095
301-500,300_500,qeco,QECO,8.733012213568308,8.292156055313908,10.50891276148455,11196.54,0.49992217052357474
301-500,300_500,qeco_adapt_general,QECO-ADAPT general,8.899121598201026,8.351041226833743,8.348164959738074,11175.395,0.4905658563417236
301-500,300_500,qeco_adaptive_gate,QECO adaptive gate,8.957476184805554,8.300387916175868,9.220927423320504,11124.285,0.4996293469510642
301-500,300_500,qeco_adapt2,QECO-ADAPT2,8.89824389903151,8.350169194634017,8.396549150249003,11181.38,0.49056150235126383
