phase,episode,arm,trace_hash,wall_seconds,qoe,delay,energy,drop,completion_rate,completion_rate_percent,drop_rate,completed_task,arrived_task,switch_count,gate_rejections,decisions,action_seconds,seconds_per_decision,context_selector_seconds,controller_seconds,controller_seconds_per_step,controller_seconds_per_decision,delayed_across_switch,context_saturated_steps
evaluation,0,fixed,80d2c3106084f7c5f345cb5604c7f7853b725a88e36323c05d5b409bfc06e1dc,7.070953718852252,15.793524524919484,6.787787787787788,17.75927723715844,581.0,0.7092092092092092,70.92092092092092,0.2907907907907908,1417.0,1998.0,0,255,1998,1.283638291992247,0.0006424616076037273,0.2325507653877139,1.516189057379961,0.01516189057379961,0.0007588533820720526,0,"[33, 60, 0]"
evaluation,0,adaptive,80d2c3106084f7c5f345cb5604c7f7853b725a88e36323c05d5b409bfc06e1dc,7.063730699941516,13.692506004933618,7.0075075075075075,10.533856203920548,696.0,0.6516516516516516,65.16516516516516,0.3483483483483483,1302.0,1998.0,0,0,1998,1.286665451247245,0.0006439767023259485,0.23341358033940196,1.520079031586647,0.01520079031586647,0.000760800316109433,0,"[33, 21, 0]"
evaluation,0,contextual,80d2c3106084f7c5f345cb5604c7f7853b725a88e36323c05d5b409bfc06e1dc,7.085372006054968,14.381058661837184,6.937937937937938,12.366547461539149,654.0,0.6726726726726727,67.26726726726727,0.32732732732732733,1344.0,1998.0,0,0,1998,1.2845477634109557,0.0006429167985039818,0.2349833524785936,1.5195311158895493,0.015195311158895492,0.0007605260840288034,0,"[33, 36, 0]"
evaluation,0,switching,80d2c3106084f7c5f345cb5604c7f7853b725a88e36323c05d5b409bfc06e1dc,7.108690690714866,14.726932208572777,7.003503503503503,12.592374302083877,645.0,0.6771771771771772,67.71771771771772,0.3228228228228228,1353.0,1998.0,6,83,1998,1.2883505737408996,0.0006448201069774272,0.23697588965296745,1.525326463393867,0.01525326463393867,0.0007634266583552888,771,"[33, 28, 0]"
