display_step,raw_step,active_users,selected_policy,normalized_active_user_fraction,normalized_edge_backlog,normalized_access_pressure,context_bin,decisions,gate_rejections,completed_now,action_seconds,context_selector_seconds,controller_seconds
18,17,30,adaptive,0.2,0.7607417051792443,0.008447267276654458,0,5,0,25,0.0032630148343741894,0.0023420797660946846,0.005605094600468874
19,18,30,adaptive,0.2,0.12520183609873262,0.008686038909846316,0,6,0,21,0.0039028399623930454,0.0023606447502970695,0.006263484712690115
20,19,30,adaptive,0.2,0.05313331974319797,0.009478141969872955,0,7,0,16,0.004505104385316372,0.002361536957323551,0.006866641342639923
21,20,30,adaptive,0.2,0.07124291264747765,0.008344808533855552,0,4,0,21,0.0026386999525129795,0.002367759123444557,0.005006459075957537
22,21,30,adaptive,0.2,0.0,0.008187753185189828,0,8,0,16,0.005116966087371111,0.0023739198222756386,0.0074908859096467495
23,22,30,adaptive,0.2,0.14379179745353912,0.0088919888508171,0,4,0,13,0.0026307441294193268,0.002380683086812496,0.005011427216231823
24,23,30,adaptive,0.2,0.0,0.009886780079819246,0,6,0,15,0.0038633053191006184,0.0023238658905029297,0.006187171209603548
25,24,30,adaptive,0.2,0.18504187963413624,0.008773333302946384,0,4,0,10,0.002654499374330044,0.0023621278814971447,0.0050166272558271885
26,25,30,adaptive,0.2,0.143821014108627,0.008814775010727138,0,8,0,4,0.0051232087425887585,0.0023853620514273643,0.007508570794016123
27,26,30,adaptive,0.2,0.39346140824308756,0.008334779697762529,0,6,0,11,0.003933437168598175,0.0023454767651855946,0.00627891393378377
28,27,30,adaptive,0.2,0.19809094082518375,0.009161198988392294,0,10,0,7,0.006387217901647091,0.002337913028895855,0.008725130930542946
29,28,30,adaptive,0.2,0.5816588991424153,0.010003731892087031,0,11,0,7,0.007016523741185665,0.002347008790820837,0.009363532532006502
30,29,30,adaptive,0.2,0.3443112046840983,0.007772370521373695,0,8,0,7,0.005391242913901806,0.0023748520761728287,0.0077660949900746346
31,30,30,adaptive,0.2,0.39732370687101165,0.008427223511174198,0,9,0,9,0.005833284929394722,0.0023842998780310154,0.008217584807425737
32,31,30,adaptive,0.2,0.244605532716887,0.008528312256624648,0,11,0,4,0.007059203926473856,0.002383438404649496,0.009442642331123352
33,32,30,adaptive,0.2,0.4206788015609157,0.007715504976628207,0,14,0,8,0.008978778962045908,0.0023392350412905216,0.01131801400333643
34,33,30,adaptive,0.2,0.3072447201375868,0.008628095778405731,0,6,0,5,0.0038515529595315456,0.002365945838391781,0.0062174987979233265
35,34,30,adaptive,0.2,0.08086320686655475,0.009986766084717047,0,6,0,6,0.0038488181307911873,0.002330589108169079,0.006179407238960266
36,35,90,adaptive,0.6,0.20500747479846534,0.009255718026132675,1,24,0,9,0.015664879698306322,0.0023721777833998203,0.018037057481706142
37,36,90,adaptive,0.6,0.3014362741419992,0.00872277882516792,1,26,0,9,0.01681461464613676,0.0023372010327875614,0.019151815678924322
38,37,90,adaptive,0.6,0.18910335905970568,0.009707466989790081,1,30,0,12,0.01932179694995284,0.002391844056546688,0.02171364100649953
39,38,90,adaptive,0.6,0.6204882793253531,0.008416062813965897,1,32,0,22,0.020650869701057673,0.002380683086812496,0.02303155278787017
40,39,90,adaptive,0.6,0.35447776210058063,0.00955381791000487,1,23,0,20,0.014816813170909882,0.0023762653581798077,0.01719307852908969
41,40,90,adaptive,0.6,0.0,0.008978210033706469,1,26,0,7,0.016819254029542208,0.002368029672652483,0.01918728370219469
42,41,90,adaptive,0.6,0.36210268889546854,0.009359359742509232,1,25,0,24,0.016110078897327185,0.0023902012035250664,0.01850028010085225
43,42,90,adaptive,0.6,0.4312155735768712,0.009256200861864072,1,25,0,15,0.01610582135617733,0.002338944934308529,0.01844476629048586
44,43,90,adaptive,0.6,0.27863379129930443,0.009121758067975771,1,27,0,18,0.017457916401326656,0.0023886379785835743,0.01984655437991023
45,44,90,adaptive,0.6,0.10565121705990878,0.009647061357284548,1,24,0,14,0.015558369923382998,0.002384420018643141,0.01794278994202614
46,45,90,adaptive,0.6,0.6055500089185095,0.009145067228812032,1,28,0,25,0.018143948633223772,0.0023849112913012505,0.020528859924525023
47,46,90,adaptive,0.6,0.6197850305498321,0.008398495154075758,1,24,0,29,0.01541184401139617,0.002385552041232586,0.017797396052628756
48,47,90,adaptive,0.6,0.36446037060316233,0.00873059065983961,1,29,0,20,0.01879822090268135,0.002363129984587431,0.02116135088726878
49,48,90,adaptive,0.6,0.7559854998973754,0.008409100127569236,1,33,0,24,0.021273433230817318,0.002374943345785141,0.02364837657660246
50,49,30,adaptive,0.2,0.6547205444183251,0.008974482655533356,0,10,0,27,0.006505531258881092,0.0023752530105412006,0.008880784269422293
51,50,30,adaptive,0.2,0.2099535202635363,0.009484802469685305,0,13,0,22,0.008359241764992476,0.002372678369283676,0.010731920134276152
52,51,30,adaptive,0.2,0.3302799735942709,0.009890213508643497,0,9,0,30,0.0058763958513736725,0.002359552774578333,0.008235948625952005
53,52,30,adaptive,0.2,0.12068881746974568,0.008510824761983282,0,11,0,23,0.00711631216108799,0.0023990371264517307,0.00951534928753972
54,53,30,adaptive,0.2,0.17507573628410653,0.009146094722053744,0,12,0,13,0.007587919011712074,0.0023651840165257454,0.00995310302823782
55,54,30,adaptive,0.2,0.15489278749624621,0.008801397537462563,0,10,0,24,0.0063697961159050465,0.0023656953126192093,0.008735491428524256
56,55,30,adaptive,0.2,0.0,0.008170168512090514,0,15,0,24,0.00952813308686018,0.0023448760621249676,0.011873009148985147
57,56,30,adaptive,0.2,0.3159270301143234,0.00943499928031255,0,14,0,19,0.008901563007384539,0.002353331074118614,0.011254894081503153
58,57,30,adaptive,0.2,0.26506717603723756,0.009377897941277191,0,13,0,20,0.008288559038192034,0.002339425962418318,0.010627985000610352
59,58,30,adaptive,0.2,0.34818442691012025,0.009727145818852478,0,10,0,12,0.006306726019829512,0.0023377425968647003,0.008644468616694212
60,59,30,adaptive,0.2,0.08661472909376354,0.00941997526039362,0,8,0,12,0.005060228984802961,0.0023471396416425705,0.007407368626445532
61,60,30,adaptive,0.2,0.11366823349812943,0.009446066222571936,0,17,0,11,0.010752089321613312,0.0023546949960291386,0.01310678431764245
62,61,30,adaptive,0.2,0.10863429556335798,0.01023226773549335,0,12,0,8,0.0076409089379012585,0.0023675281554460526,0.010008437093347311
63,62,30,adaptive,0.2,0.15669201797865764,0.010736149781993776,0,14,0,11,0.008841721341013908,0.002369321882724762,0.01121104322373867
64,63,30,adaptive,0.2,0.24334066979479918,0.008650952659012168,0,8,0,12,0.005044609773904085,0.0023764250800013542,0.007421034853905439
65,64,30,adaptive,0.2,0.07251222177584218,0.007934866762159709,0,13,0,12,0.008276406209915876,0.002343784086406231,0.010620190296322107
66,65,150,adaptive,1.0,0.17007547933605605,0.009474302085964559,1,63,0,15,0.04053046694025397,0.0023925858549773693,0.04292305279523134
67,66,150,fixed,1.0,1.0,0.008591064193110842,2,69,5,20,0.04441851889714599,0.0023630899377167225,0.04678160883486271
68,67,150,fixed,1.0,1.0,0.00937349913516905,2,60,10,25,0.03879297478124499,0.002370234113186598,0.04116320889443159
69,68,150,fixed,1.0,1.0,0.009696949935261046,2,56,9,32,0.036036944948136806,0.0023332140408456326,0.03837015898898244
70,69,150,fixed,1.0,1.0,0.009876191192854544,2,66,11,27,0.0424439013004303,0.002375143114477396,0.044819044414907694
71,70,150,fixed,1.0,1.0,0.008714071790719036,2,63,7,36,0.04048941982910037,0.0024152081459760666,0.04290462797507644
72,71,90,adaptive,0.6,1.0,0.008729822934448794,1,40,0,41,0.02609766786918044,0.002405290026217699,0.02850295789539814
73,72,90,adaptive,0.6,1.0,0.009856054850840068,1,41,0,35,0.026383276097476482,0.002385712694376707,0.02876898879185319
74,73,90,adaptive,0.6,1.0,0.009609740584110349,1,44,0,43,0.028331303969025612,0.0023614871315658092,0.03069279110059142
75,74,90,adaptive,0.6,1.0,0.009061391542268926,1,39,0,41,0.025143480859696865,0.0023915739730000496,0.027535054832696915
76,75,90,adaptive,0.6,1.0,0.010546861353985415,1,20,0,32,0.012849248014390469,0.0023794909939169884,0.015228739008307457
77,76,90,adaptive,0.6,1.0,0.009441397581928523,1,17,0,43,0.010885049123317003,0.002377738244831562,0.013262787368148565
78,77,90,adaptive,0.6,1.0,0.007958074945609073,1,21,0,36,0.013625058811157942,0.0023486330173909664,0.015973691828548908
79,78,90,adaptive,0.6,1.0,0.010040859513071654,1,28,0,59,0.018214020878076553,0.002345466986298561,0.020559487864375114
80,79,90,adaptive,0.6,1.0,0.008219545664486572,1,23,0,42,0.014846510253846645,0.002370184287428856,0.0172166945412755
81,80,90,adaptive,0.6,1.0,0.010347570181885035,1,30,0,31,0.019171765074133873,0.0023866044357419014,0.021558369509875774
82,81,90,adaptive,0.6,1.0,0.009514603928719612,1,26,0,35,0.01671387581154704,0.0023772972635924816,0.019091173075139523
83,82,90,adaptive,0.6,1.0,0.00926212831487272,1,19,0,35,0.012297859881073236,0.0023891087621450424,0.014686968643218279
84,83,90,adaptive,0.6,1.0,0.00995115432238336,1,21,0,34,0.013632843736559153,0.0023948801681399345,0.016027723904699087
85,84,90,adaptive,0.6,1.0,0.008062204220453895,1,24,0,26,0.015468731056898832,0.002357460092753172,0.017826191149652004
86,85,90,adaptive,0.6,1.0,0.008980514053189337,1,19,0,22,0.012163896579295397,0.0023682904429733753,0.014532187022268772
87,86,90,adaptive,0.6,1.0,0.008500044115056449,1,21,0,25,0.013450068887323141,0.002372447866946459,0.0158225167542696
88,87,90,adaptive,0.6,1.0,0.008475642062879651,1,18,0,25,0.011694111861288548,0.0023558558896183968,0.014049967750906944
89,88,90,adaptive,0.6,0.8393398183754809,0.008730822332664756,1,20,0,20,0.012926192954182625,0.0024401159025728703,0.015366308856755495
90,89,150,fixed,1.0,0.9316356696825371,0.009184348922445573,2,39,3,30,0.02547540608793497,0.0023388336412608624,0.027814239729195833
91,90,150,fixed,1.0,1.0,0.008143813024350965,2,0,0,31,2.3414846509695053e-05,0.002349494956433773,0.002372909802943468
92,91,150,fixed,1.0,0.7486189590954386,0.008993843770763288,2,0,0,29,2.468610182404518e-05,0.0023559769615530968,0.002380663063377142
93,92,150,fixed,1.0,0.28987892966439793,0.007737216514847156,2,0,0,20,2.88449227809906e-05,0.0023670578375458717,0.0023959027603268623
94,93,150,fixed,1.0,0.184565062024014,0.009481929693790248,1,0,0,27,2.5888904929161072e-05,0.0024298462085425854,0.0024557351134717464
95,94,150,adaptive,1.0,0.0,0.009077046692601343,1,0,0,14,2.3514963686466217e-05,0.0023959618993103504,0.0024194768629968166
96,95,150,adaptive,1.0,0.0,0.009756495407575949,1,0,0,13,2.35140323638916e-05,0.002386675216257572,0.0024101892486214638
97,96,150,adaptive,1.0,0.0,0.009236457977439883,1,0,0,11,2.446584403514862e-05,0.002413454931229353,0.0024379207752645016
98,97,150,adaptive,1.0,0.0,0.008853406634766192,1,0,0,11,2.3785047233104706e-05,0.002379931975156069,0.0024037170223891735
99,98,150,adaptive,1.0,0.0,0.009981145646857259,1,0,0,7,2.3083295673131943e-05,0.002416349947452545,0.002439433243125677
100,99,150,adaptive,1.0,0.0,0.008391675981287094,1,0,0,0,2.60290689766407e-05,0.0024314490146934986,0.0024574780836701393
